Molecule,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
BACE_1,14.601510022385533,-5.036958087671614,14.601510022385533,0.7026500544292307,0.5929347334781221,431.57999999999964,398.31600000000026,431.2572772960009,168,0,0.22288521095429528,-0.3834506314098386,0.3834506314098386,0.22288521095429528,1.0625,1.9375,2.75,2.783911784301296e-15,-0.24714542964875974,-5.3998911751317156e-17,-2.78759765243898,5.387655256610868e-17,-2.8568422717700623,2.913319652095785e-16,-1.1154727414736287,2.2519222220546284,2455.504783196726,51.30651840778636,48.6581373674276,15.658137367427601,28.60650713076904,24.822047210945563,8.48040642444569,6.059890118488227,6.059890118488227,3.7667207273600374,3.7667207273600374,2.3945307816806483,2.3945307816806483,-2.9199999999999995,4040364822576.555,5.4136917090175825,8.907698428298927,4.9370301265713135,236.46630066989687,15.766393282814699,5.817862777835028,4.235526234984602,5.907179729351506,0.0,0.0,4.794537184071822,4.9839785209472085,0.0,0.0,37.06398565561215,80.05551314565304,49.90147217832803,26.196095646472365,54.88968305796311,22.62796743926759,0.0,10.293791874235584,5.893957685363079,58.14528645250418,12.278702218642561,59.46625264470035,0.0,11.126902983393991,11.029530329014648,5.817862777835028,0.0,0.0,29.06908677254833,15.90432503920125,12.745849802658757,85.55118582304637,48.33934966130636,4.235526234984602,22.029827915475046,0.0,77.24,174.84888277716016,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.720841474747257,45.35828292009123,280.4937236792886,0.0,18.258097511158716,-2.7829140772615206,-11.962112558609903,-9.764016408110146,-15.332735218762394,-14.327189322287571,-21.666186938749128,0.0,0.4074074074074074,32,3,5,0,1,1,2,1,3,4,2,5,10,0,1,1,4,5.044820000000004,130.3921,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BACE_2,16.494108826208787,-6.631518444379584,16.494108826208787,1.6120429246541648,0.22116088613321297,657.8230000000021,606.4150000000002,657.3822035920914,258,0,0.3461977465561847,-0.38474319333589097,0.38474319333589097,0.3461977465561847,1.0,1.7446808510638299,2.4468085106382977,1.5353221299542286e-15,-0.24928106671314526,-1.6865742348757074e-16,-2.703781547535259,-1.0813081563960237e-16,-3.4167222761238234,1.195348246299214e-16,-1.7538983986158754,2.6631257754872695,3517.477887682464,78.80651840778636,73.5860247803376,22.5860247803376,42.52609720216407,37.06227319661431,11.865170524150626,8.05645238280529,8.05645238280529,4.949635500838156,4.949635500838156,3.216333061633015,3.216333061633015,-3.4099999999999997,7.656184716024165e+27,8.302167919469106,16.61374158424552,9.806356844634665,348.3406743683757,30.66804568490491,47.866047609390336,2.8236841566564013,19.152738845287153,0.0,2.8236841566564013,14.383611552215466,8.78083009534964,0.0,0.0,50.76776989020351,67.34324749205993,72.07507878245701,29.32078792324338,107.01521279218565,17.721539188054518,1.4311996572326342,15.51953643742723,5.893957685363079,107.77068148982062,19.55270461154818,71.10069432679214,0.0,0.0,15.922464809147172,8.78083009534964,0.0,0.0,84.46680009012529,31.866324308674272,17.528399367454867,133.45398954305355,48.33934966130636,5.6473683133128025,0.0,0.0,124.58000000000001,242.86195184157634,25.3969990487831,18.36990446349328,0.0,0.0,0.0,0.0,0.0,0.0,9.84567114490726,49.53099968966431,477.68297715956055,0.0,44.4546994926568,-5.017634551484212,-11.489095157884444,-23.05841980319759,-36.60741206100455,-52.12672441499021,-36.08839066365636,0.0,0.5833333333333334,47,5,9,0,2,2,2,0,2,5,4,11,21,0,2,2,4,2.638600000000002,174.11159999999956,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BACE_3,15.429657452957205,-6.721650752520171,15.429657452957205,0.5101711063545591,0.2478372883566366,591.7540000000017,552.4420000000002,591.2635677680911,222,0,0.34617481346561163,-0.4967539584121077,0.4967539584121077,0.34617481346561163,1.0714285714285714,1.880952380952381,2.6666666666666665,10.25942448626218,-0.24852059651203057,3.0894300737394456e-18,-2.6942996725538015,8.439706804609378e-17,-3.4103665173574758,0.6758167854484602,-1.7818196444060301,2.111695375161991,3394.490492712349,63.77062002292412,59.23834412478301,21.05484070571074,35.75942489698874,30.04887850204159,12.239052753878498,7.489019907767322,9.008425104325674,4.921562987805418,5.934094608977222,3.17590188924952,3.8463067167623843,-3.8599999999999985,8064838630716122.0,7.990877643323824,12.562489102081546,6.303570975717122,301.76418686316896,25.025422248557412,24.823249228865784,1.4118420783282006,11.454490810640218,5.907179729351506,2.8236841566564013,9.099753175368056,8.417796984328938,0.0,0.0,49.14882307093875,48.04242761670593,52.607811667314415,61.49233559659734,80.57291911682074,32.520782089523706,1.4311996572326342,9.87691300107973,0.0,44.68937178388595,30.520811919927176,94.89330696189901,0.0,5.749511833283905,19.654730400955078,5.687386274683562,5.749511833283905,0.0,63.745590633742204,35.76286032469823,0.0,81.8767847341132,72.639500995111,4.235526234984602,10.902924932081056,0.0,117.48,223.55353569217,18.054190399678458,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,9.84567114490726,44.00688194282544,365.0849114178476,0.0,15.429657452957205,-3.31104226525028,-16.947340531282656,-4.643684360203113,-24.870870662741606,-16.78901707655088,-23.373494185752342,-10.412453122357185,0.34375,42,4,9,0,1,1,3,1,4,6,3,10,15,0,0,0,5,2.4575000000000014,164.40319999999963,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
BACE_4,16.50412003246049,-7.621469784278658,16.50412003246049,1.2962233771190386,0.28904183015926876,591.6880000000017,552.3760000000002,591.2510326480912,224,0,0.42721212598409725,-0.47618302374892263,0.47618302374892263,0.42721212598409725,1.025,1.8,2.475,9.942084393723546,-0.2491026653882944,-8.795218364425251e-17,-2.7771500265894136,8.624869491138383e-17,-3.432186224088141,0.00739647865842617,-1.7705399184728414,2.8311195104287212,2833.345061356177,63.62687384302478,57.855774825820006,19.67227140674773,34.175079793847914,28.886054361688934,11.172114936819638,6.96074335788205,8.375865223732465,3.9917182062840526,4.926648995614743,2.397526187613976,3.2538994672707098,-2.41,580913213334743.2,8.148216637973254,12.624566679562726,8.545603691718163,287.6331033813253,25.605089177004004,41.55384601377909,12.660937293073903,7.511217684182622,0.0,8.999982674099876,0.0,12.808212032003757,13.171245143024459,0.0,38.68293247487692,47.89396659440571,44.06080698721056,32.825320470619744,98.11798859940622,15.524639411101063,1.4311996572326342,0.0,5.893957685363079,70.04657056391791,30.24760123185917,58.76208756211665,0.0,5.749511833283905,15.759418032096743,23.24904646538284,5.749511833283905,0.0,63.83991612849478,32.858891145259655,11.711178526408974,90.70371385406115,36.25451224597977,5.6473683133128025,0.0,0.0,115.46000000000001,191.5272063902122,25.701317795864053,4.39041504767482,0.0,0.0,0.0,0.0,0.0,0.0,14.58253409870731,49.57208321182229,421.1967610853443,0.0,0.0,-0.655724487298087,-27.555343187700938,-11.730075956976147,-20.09129852938,-24.276573645515768,-33.34960882752829,-7.621469784278658,0.5714285714285714,40,5,7,0,1,1,2,0,2,6,3,12,13,0,1,1,3,3.131800000000002,144.1903999999998,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
BACE_5,15.362895060130253,-6.7474290572720825,15.362895060130253,0.5384831588103465,0.24984287147259474,629.7250000000014,593.437,629.240387712091,234,0,0.41592330415856454,-0.38506958943161274,0.41592330415856454,0.38506958943161274,1.0227272727272727,1.75,2.477272727272727,10.966412514747589,-0.24831715992627537,1.5449000733326098e-16,-2.6944188644315092,0.04629505265452812,-3.410388295889371,1.1686039563168538,-1.7818201997916634,2.124663674003087,3387.1108101506065,63.063513241737574,56.96398925334684,21.78048583427456,35.286298350526415,28.95757692109157,12.647751172928478,7.930592758962059,9.449997955520413,5.1259121973304085,6.138443818502214,3.2838109758580245,3.954215803370889,-3.869999999999998,3637754155100162.0,9.569705436858046,12.62438306791781,6.768137349293259,304.93233634193734,20.288559294757363,19.07373739558188,1.4118420783282006,11.454490810640218,5.907179729351506,8.999982674099876,9.099753175368056,8.417796984328938,13.171245143024459,0.0,49.14882307093875,48.04242761670593,52.607811667314415,55.905558960901075,84.89502563753447,32.520782089523706,1.4311996572326342,9.87691300107973,0.0,50.86567030132943,23.482859461044587,100.456758453596,0.0,0.0,14.917867447155029,18.858631417708022,0.0,0.0,56.70763817485962,41.93915884214171,0.0,83.32796055729952,72.639500995111,4.235526234984602,10.902924932081056,0.0,108.25,222.50582140914398,29.85467698653269,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,41.26536483048499,377.7091894832405,0.0,15.362895060130253,-3.685786011463181,-20.12408368749022,-3.0792951173939613,-26.980707833135405,-22.96645471179936,-23.8216614581497,-6.7474290572720825,0.34375,44,4,8,0,1,1,3,1,4,5,3,12,13,0,0,0,5,3.4677000000000024,162.85319999999967,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,3,0,1,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
BACE_6,16.037724049270004,-7.045722631881965,16.037724049270004,1.3211853173992658,0.33890635391949847,585.6060000000014,553.3500000000001,585.2016378440909,218,0,0.4340244962116012,-0.4689960229651277,0.4689960229651277,0.4340244962116012,1.0,1.6923076923076923,2.3076923076923075,10.998216056583264,-0.24432220324732545,1.0778601774558179e-17,-2.7788355691620152,0.04769370639413375,-3.4313837320796705,1.1069999999999984,-1.7705252501255577,2.797812196290852,2446.803120757792,56.99711733102786,50.17317166391996,18.989668244847685,30.87267355104062,25.12808611407225,10.580813355869616,6.917608160666144,7.86331392969527,3.971089287210134,4.739353409874157,2.3844088705411135,3.0785143505728514,-2.38,25633072398681.59,9.316456140663252,11.61759354589619,8.072980563542021,269.2003424524182,20.868226223203955,35.84888912862893,2.8236841566564013,1.4311996572326342,6.080018026949988,15.176281191543351,4.208898492164469,4.39041504767482,26.34249028604892,0.0,38.68293247487692,41.042074477110035,49.894072003838104,20.783301003022576,92.7481624032746,16.48695531758787,1.4311996572326342,0.0,5.893957685363079,69.3709769640657,17.129630746026592,58.76208756211665,0.0,5.749511833283905,15.759418032096743,36.420291608407304,5.749511833283905,0.0,52.689345667941204,29.08434409794641,11.711178526408974,74.256511843574,36.25451224597977,5.6473683133128025,0.0,0.0,89.16,178.69595821101424,33.29290589055383,4.39041504767482,0.0,0.0,0.0,0.0,0.0,0.0,9.84567114490726,41.34753187480095,384.8240434021285,0.0,0.0,-0.4381170299591113,-26.11615474513687,-11.431386412268608,-19.37083528950253,-31.557225316366495,-18.753490836567693,-4.9346115501050285,0.5384615384615384,39,5,5,0,1,1,2,0,2,4,3,13,9,0,1,1,3,3.991500000000004,132.97499999999994,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BACE_7,15.659400841042167,-8.130537873618279,15.659400841042167,1.4391758976049156,0.15676517713379243,645.7930000000019,602.4490000000003,645.2916743360912,244,0,0.34617480069014817,-0.385069796647802,0.385069796647802,0.34617480069014817,0.8888888888888888,1.6666666666666667,2.422222222222222,10.17843025805605,-0.24919543489584786,-1.0874497158444505e-16,-2.7010410760795502,3.624020253795667e-17,-3.410443687785831,0.11067919201326852,-1.781820497641801,2.9197904528244214,3422.432460715747,70.53856921535524,64.49427307080147,22.310769651729196,38.50749546983339,32.21787558696575,12.503936162096446,7.116595466483209,8.53171733233362,4.074194160575116,4.907062877289839,2.4101821439431,3.0341058611346483,-3.7399999999999984,3.169969133964367e+18,8.987892246245549,17.67059067001285,12.28566665518715,324.0602753279616,21.031273000254384,36.72607154602331,12.660937293073903,7.33837938658414,5.907179729351506,2.8236841566564013,14.573052889090853,17.198627079678577,0.0,0.0,50.61930886790329,54.415352518035306,51.366831744394254,47.664911741410954,94.935541189281,21.65161259512051,1.4311996572326342,15.60360522752396,0.0,70.18107138920347,17.906773454616264,100.61580643947894,0.0,0.0,15.922464809147172,8.78083009534964,0.0,0.0,67.77871923058456,33.874499807464026,11.63444168209179,111.95972722390754,66.72755879059918,5.6473683133128025,0.0,0.0,142.07,226.27772868756648,17.324609836911417,13.575367279421462,0.0,0.0,0.0,0.0,0.0,0.0,10.092786712054421,55.05511743650318,420.30310843382006,0.0,32.86593091783062,-4.7528327091961735,-21.257283254628952,-12.565415805236448,-30.96938563627629,-34.82772772108183,-19.58252301827953,-8.130537873618279,0.42424242424242425,45,5,9,0,0,0,2,1,3,6,4,12,21,0,0,0,3,2.4776000000000034,167.98589999999967,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
BACE_8,16.51637074700406,-4.149163657125489,16.51637074700406,0.3135345306115518,0.44416028143718783,477.5629999999999,451.35500000000036,477.20851609209075,178,0,0.30637822856673325,-0.31511461075082503,0.31511461075082503,0.30637822856673325,1.0555555555555556,1.9444444444444444,2.7777777777777777,11.139960110487424,-0.24852812070051353,2.5231244215343024e-16,-2.460877171282989,0.021798110266153428,-3.0643547618474125,2.482147790788824,-1.2243976843519269,2.2984920202313077,2794.917756903858,47.63242734248992,43.57506714547292,17.57506714547292,28.041970312444057,22.52360155023625,9.681960763736377,7.034382385162948,7.034382385162948,5.062136826036795,5.062136826036795,3.5634259025382864,3.5634259025382864,-4.499999999999999,3369798532785.078,7.747471743010113,8.936158572510731,3.607418419963115,245.43055792660124,4.567099647791355,11.38067233274289,5.538925252383345,0.0,11.394886680809275,4.235526234984602,20.483662162663016,4.39041504767482,0.0,5.920434318855644,36.13252785717212,50.28880267423721,73.4745983848146,16.44910267404264,45.138817556492214,5.835619785757269,0.0,9.551078168738563,5.719716975726273,32.59146128858633,0.0,122.45218787176564,0.0,22.967771621105282,16.264413352695993,4.39041504767482,0.0,0.0,15.386697954495833,12.03578493669929,24.509981596052864,78.61193997668839,77.69499118548575,4.235526234984602,11.126902983393991,0.0,74.88,177.49845136894908,11.689413487080902,4.39041504767482,4.985429481917713,0.0,0.0,0.0,5.920434318855644,5.920434318855644,4.9839785209472085,28.868096723890577,235.23954585220622,0.0,17.217638221088066,0.0,-17.352444126112424,0.38269735599215027,-12.817771650095212,-4.029832285208281,-15.056500034537187,0.0,0.16666666666666666,36,3,5,0,1,1,2,2,4,4,2,6,6,0,0,0,5,2.8405200000000006,138.87909999999985,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
BACE_9,15.041651269260566,-5.834890046513203,15.041651269260566,0.9680332748665812,0.4485632344562827,556.727000000002,514.3910000000004,556.3169832440911,216,0,0.3464146182297825,-0.4864931947367216,0.4864931947367216,0.3464146182297825,0.9512195121951219,1.829268292682927,2.682926829268293,2.527555569815838e-15,-0.24779378915921246,-1.6551619676836695e-16,-2.8500591648925533,3.4870510154705195e-17,-3.4058308103114943,6.251696967528585e-16,-1.7657577254334065,1.9405017066903922,3349.773438700948,65.46121894616562,61.974633948355326,19.974633948355326,36.47673282653764,31.835757387373246,11.085868310409511,7.768442496244564,7.768442496244564,5.085324063413433,5.085324063413433,3.2415507307356677,3.2415507307356677,-3.4199999999999995,2.20678288886018e+17,7.029247197606008,11.824545888262067,6.114462944634388,300.7618821942192,25.025422248557412,31.31609138005339,1.4118420783282006,1.4311996572326342,11.466446624403513,2.8236841566564013,9.589074368143644,0.0,0.0,0.0,37.06398565561216,85.80100980871592,56.61254529603849,36.33541523812672,76.26739780100249,5.907179729351506,1.4311996572326342,9.87691300107973,0.0,94.421929688209,6.496859684315945,98.72572511739322,0.0,5.749511833283905,20.90878130471085,0.0,5.749511833283905,0.0,41.21010821608196,25.615634388304084,0.0,135.80795377064663,65.34920076385623,4.235526234984602,0.0,0.0,97.17000000000002,221.686419972132,21.3668904245884,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,45.92006073996909,377.1186280457403,0.0,28.74158220494184,-1.877701747882349,-18.144435952684788,-5.025677706877288,-29.473542581828237,-50.15009844185623,-14.688753819553195,0.0,0.47058823529411764,41,4,7,1,2,3,2,1,3,5,3,7,7,1,0,1,6,3.4589000000000025,158.2273999999997,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
BACE_10,15.930753233783564,-6.321902952509997,15.930753233783564,1.5832426466288234,0.3545984292437789,562.8190000000023,510.4030000000004,562.4003189440914,224,0,0.34617480069415224,-0.38506980727198264,0.38506980727198264,0.34617480069415224,0.9512195121951219,1.7073170731707317,2.4878048780487805,-1.9325742851545302e-16,-0.24851635810154965,-3.117636384804475e-16,-2.8708681580910644,-2.146963650724156e-16,-3.410421106657246,-1.6687998771486573e-16,-1.7818204835496958,2.490376556927943,3317.2570653286134,74.94471108822057,72.06638565789146,20.066385657891466,40.214931145480485,36.42750909690938,10.677620019945648,7.26787345942376,7.26787345942376,4.510786062900612,4.510786062900612,2.690866848325925,2.690866848325925,-2.699999999999999,4.4265913547667863e+24,6.121433699908905,14.460555357778572,8.419389764314403,320.16664580289716,20.621369377816485,19.07373739558188,1.4118420783282006,13.245559115935645,0.0,2.8236841566564013,9.589074368143644,0.0,0.0,0.0,68.4160587972271,80.89857070435107,75.10115136870604,26.57927081090294,90.03265759297642,11.814359458703011,1.4311996572326342,10.209723084138854,11.787915370726157,108.41862079717974,12.99371936863189,71.07212284406063,0.0,0.0,10.612651455858796,0.0,0.0,0.0,53.8848321542082,22.45885895378897,11.787915370726157,160.3987656351128,54.38176836896965,4.235526234984602,0.0,0.0,86.25,231.59929902601087,19.913964824102223,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,56.343708948357445,453.84419713987563,0.0,28.66550262100947,-2.60686679385042,-13.09517586167334,-24.356714369592503,-23.776760954481084,-49.66993238553768,-36.42091606241698,0.0,0.6,41,4,6,1,1,2,2,0,2,3,3,6,17,1,1,2,4,4.559300000000005,164.20189999999965,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
