Molecule,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_alkyl_halide,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_halogen,fr_imidazole,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_oxazole,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_thiazole,fr_urea
CHEMBL1807262,14.665627755189668,-5.0414938210366484,14.665627755189668,0.9675475944157095,0.5281606599887299,462.42099999999965,433.1890000000002,461.1636825280008,166,0.24242551119165245,-0.35425839090874306,0.35425839090874306,0.24242551119165245,0.9354838709677419,1.5483870967741935,2.129032258064516,10.151723412398416,-0.24432220324732767,1.5123257622266912e-17,-2.662210386741676,-5.3057041497295875e-18,-2.8187610241602905,1.002212092697786e-15,-1.0715969510213816,47.81495457622364,43.91406631344606,16.425924205482964,26.347646646674754,22.245887538722858,8.607389293741399,5.3695001917011,6.1254291377195536,3.300160813237764,3.678125286246991,1.8914710968772444,2.080453333381858,-2.0799999999999996,6.278928058951768,10.489163672316948,6.4518704928281485,234.51136400540457,15.51953643742723,6.017892468349645,2.8236841566564013,11.814359458703011,0.0,0.0,9.589074368143644,0.0,0.0,0.0,47.37155461111821,74.86386600291576,47.58870522419197,17.751817474928757,49.423239541396015,35.016239239168044,0.0,15.51953643742723,0.0,36.92458254306394,26.94537316919638,69.511519272183,0.0,61.440000000000005,160.71537088057366,10.959832924313863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.665286397547206,238.70484089029173,11.616315865675356,28.031021247521938,-4.838423265591036,-7.325015723475597,-5.81057071265953,-16.309144227088026,-17.12555104325238,-17.887917475866978,0.0,0.4166666666666667,31,2,5,1,0,1,2,0,2,3,2,7,12,1,0,1,3,3.820400000000003,125.63140000000004,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1807275,14.82989313627323,-5.005983262646627,14.82989313627323,1.0067915410548485,0.5118729266741247,449.3779999999997,423.1700000000002,448.1320480520007,160,0.2424261056410702,-0.39630669047110845,0.39630669047110845,0.2424261056410702,1.0333333333333334,1.6666666666666667,2.3,10.501444771925447,-0.18645469198627343,4.61778269401653e-17,-2.7868036729570256,1.3929526403140755e-16,-2.844795996587391,1.2506143087695898,-1.0878051963615676,44.444711088220565,40.375101008409956,15.88695890044687,24.792281414670132,20.437439581168718,8.390693045723392,5.149348668817107,5.905277614835562,3.308486751233262,3.68645122424249,1.9583911706691317,2.147373407173745,-2.0799999999999996,6.47040104297781,10.292064565002041,5.336665915170793,223.05258073062444,15.728434897683965,6.017892468349645,2.8236841566564013,13.245559115935645,0.0,0.0,9.589074368143644,0.0,0.0,0.0,53.7444795124476,54.415352518035306,45.92313913008694,20.493334587269196,49.049013507822345,35.016239239168044,1.4311996572326342,10.619626706576751,0.0,43.29750744439332,13.055844927232233,69.511519272183,0.0,78.43,148.29885780908836,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,58.984210386269176,214.96043189866603,11.615483211496356,29.16027796785567,-1.2205295927195983,-7.817811182215719,-5.8559555872245985,-16.500158360341466,-21.3399920818178,-8.69619071814332,0.0,0.391304347826087,30,3,5,1,0,1,2,0,2,3,3,7,10,1,0,1,3,3.6412000000000013,118.78020000000002,0,1,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1807270,15.263546598964057,-5.408178203122818,15.263546598964057,1.1121624603216083,0.5115452467617339,516.5129999999998,481.2330000000002,515.210632720001,188,0.2426391819908334,-0.3515752516545801,0.3515752516545801,0.2426391819908334,0.8285714285714286,1.4,2.0,2.9211818072626913e-15,-0.2443222032473235,-6.583025792529987e-17,-2.8300141878892866,-6.037003997062026e-17,-2.887200742370769,6.473496166090784e-16,-1.1234187918804759,55.81495457622364,51.91406631344606,18.425924205482968,30.59764664667475,26.495887538722855,9.857389293741399,6.343106989451079,7.099035935469533,4.0796693104252375,4.4576337834344635,2.425399667856605,2.614381904361218,-2.0799999999999996,6.668806834611675,11.320679248149935,6.194278198837128,267.3951243104689,15.51953643742723,6.017892468349645,2.8236841566564013,11.814359458703011,0.0,0.0,9.589074368143644,0.0,0.0,0.0,53.7444795124476,87.48578102258793,59.98142325742645,19.122576031098976,57.647790878417354,35.016239239168044,0.0,15.51953643742723,0.0,74.45206708508074,13.951653800564491,69.511519272183,0.0,61.440000000000005,185.24913605395858,1.3707585561702202,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,69.88983773456852,298.9783203676137,11.713563074753523,29.20462741906175,-5.513449814975241,-8.406761768983316,-6.445948797018718,-28.332559429050168,-38.30316623869153,-8.839069257154435,0.0,0.5,35,2,5,2,0,2,2,0,2,3,2,7,10,2,0,2,4,5.131600000000003,141.94139999999987,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1807267,15.079643027916527,-5.255116978633021,15.079643027916527,1.0164991950154862,0.5483802787315307,502.4859999999996,469.2220000000002,501.19498265600095,182,0.24263918199092627,-0.3515752516545801,0.3515752516545801,0.24263918199092627,0.8529411764705882,1.411764705882353,1.9705882352941178,9.973226375848503,-0.244322203247321,7.321098101652938e-18,-2.8294083509249495,-8.048775712706007e-18,-2.8805337757082863,5.654140454387573e-16,-1.1234179625802228,53.31495457622364,49.41406631344606,17.925924205482968,29.34764664667475,25.245887538722855,9.607389293741399,6.218106989451079,6.974035935469533,3.9546693104252375,4.3326337834344635,2.300399667856605,2.489381904361218,-2.0799999999999996,6.615253613688106,10.675442204366599,5.937466114985257,258.22024119573643,15.51953643742723,6.017892468349645,2.8236841566564013,11.814359458703011,0.0,0.0,9.589074368143644,0.0,0.0,0.0,47.37155461111821,87.48578102258793,57.239906145086,19.122576031098976,54.90627376607691,35.016239239168044,0.0,15.51953643742723,0.0,68.07914218375136,13.951653800564491,69.511519272183,0.0,61.440000000000005,178.8762111526292,6.165295740242042,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,67.14832062222808,280.21599463888566,11.681456655416424,28.75046421697673,-5.175911788802878,-7.621592658901012,-6.109660531712597,-27.249217002287256,-32.9135753835318,-8.772402590487768,0.0,0.48148148148148145,34,2,5,2,0,2,2,0,2,3,2,7,10,2,0,2,4,4.741500000000003,137.32439999999994,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1807271,15.202782710075168,-5.456189177059717,15.202782710075168,1.158066574550786,0.5569514964351896,500.05799999999954,464.7780000000002,499.240183260001,188,0.24263918199083348,-0.3515752516545801,0.3515752516545801,0.24263918199083348,0.9142857142857143,1.542857142857143,2.1714285714285713,3.5026069455324946e-15,-0.2443222032473225,-9.985763863625118e-17,-2.8300125960317692,-9.009614484658417e-18,-2.887206598564972,5.200093721134134e-16,-1.1234188704061405,55.81495457622364,51.91406631344606,17.669995259464514,30.59764664667475,26.495887538722855,9.479424820732172,6.343106989451079,6.721071462460306,4.0796693104252375,4.268651546929851,2.425399667856605,2.519890786108912,-2.4399999999999995,6.513902309223011,11.087097761629256,6.041803162664698,261.25739348651325,15.51953643742723,11.83511330939554,2.8236841566564013,11.814359458703011,0.0,0.0,9.589074368143644,4.39041504767482,0.0,0.0,42.14353962221508,87.48578102258793,54.958789943685105,19.122576031098976,62.038205926092175,23.415299348935527,0.0,15.51953643742723,0.0,74.45206708508074,13.951653800564491,70.30610679948757,0.0,61.440000000000005,186.04372358126315,5.76117360384504,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,58.288897844336006,312.2746420379626,5.82681047784939,29.096532980356514,-4.5140320909779135,-8.702481593491019,-8.648587447816517,-29.87520386781283,-38.64725406859667,-8.865981983029098,0.0,0.5,35,2,5,2,0,2,2,0,2,3,2,7,10,2,0,2,4,4.617300000000003,136.88939999999994,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL2011946,8.337980413112087,-0.8943317656280623,8.337980413112087,0.12048808773972475,0.7225381010905533,311.7719999999997,297.65999999999997,311.0825397480004,110,0.16656011212441224,-0.45738009496893256,0.45738009496893256,0.16656011212441224,0.8181818181818182,1.4545454545454546,2.1363636363636362,11.282955509410465,-0.14040485657595714,0.4837141276597334,-2.325277887170486,0.625083856158885,-2.371041523268026,2.880028156278207,-0.6219724552547397,27.38386867697599,24.62785354997296,11.383782495991419,16.626580533033177,12.556905302218246,6.093228988727599,3.6923265883343377,4.070291061343565,2.1485598019661074,2.337542038470721,1.306895372474009,1.4013864907263158,-2.719999999999999,5.176095248379021,6.366804622413331,3.6795557406636137,152.9155607486452,15.766393282814697,11.49902366656781,4.235526234984602,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,11.600939890232516,54.38176836896965,16.88291479923965,32.6260118780543,24.05073330665707,28.6630987142832,0.0,4.9839785209472085,0.0,0.0,11.029530329014648,71.7501921043405,11.49902366656781,60.17,100.311374594959,0.0,0.0,11.029530329014648,0.0,0.0,0.0,0.0,4.9839785209472085,35.65167319688959,116.57710584879516,5.750948021258774,3.4638734833573324,-0.29894360888491733,-2.3021536793969917,-1.4956427230110485,-7.159018660717944,-1.591724236955916,0.0,0.0,0.0,22,3,4,0,0,0,2,1,3,4,2,5,5,0,0,0,3,4.853100000000002,89.90010000000002,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CHEMBL2012015,8.30094337607505,-0.8694593166484703,8.30094337607505,0.08113623588787267,0.7531666096990953,312.7599999999997,299.65599999999995,312.0777887160004,110,0.1665620499637995,-0.4573800949689324,0.4573800949689324,0.1665620499637995,0.8636363636363636,1.5454545454545454,2.227272727272727,12.024727599574103,-0.14039966585068867,0.636233730767663,-2.3137260199814684,0.6863569203126096,-2.3732159134457222,2.8800281562782115,-0.6215404199378154,26.51362518897291,23.57506714547292,11.330996091491377,16.21589693051022,12.006905302218247,6.043228988727599,3.643719790584359,4.0216842635935866,2.1189777626411135,2.307959999145727,1.2835633331490153,1.378054451401322,-2.789999999999999,5.443034763618045,6.321331595063947,3.6476641921506223,150.69869179782862,15.766393282814697,17.316886444402837,4.235526234984602,0.0,0.0,0.0,0.0,0.0,5.098681808301038,5.098681808301038,11.600939890232516,48.33934966130636,16.752438296088183,25.56786704720052,22.67997475048685,28.793575217434665,0.0,10.197363616602075,0.0,0.0,11.029530329014648,65.57729689352574,11.49902366656781,73.06,94.26895588729573,0.0,0.0,11.029530329014648,0.0,0.0,0.0,0.0,10.197363616602075,34.28091464071937,108.43994161357078,5.748494317555069,0.0,6.436157579449982,-1.4869448407296657,-2.124471206557038,-6.969286991514358,-0.7661126939969976,0.0,0.0,0.0,22,3,5,0,0,0,2,1,3,5,2,6,5,0,0,0,3,4.248100000000002,87.69510000000001,0,0,1,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL2172322,14.594947714473516,-6.263681020901008,14.594947714473516,0.6820870561001269,0.3403092939102096,565.7400000000017,526.4280000000002,565.2722757280012,214,0.27975513407163477,-0.39608814510405055,0.39608814510405055,0.27975513407163477,1.075,1.9,2.675,10.01785154962519,-0.1910571827383988,-1.4265159232216849e-16,-2.804415394560328,-2.8348555972815166e-17,-2.780375586521701,0.10076773370279503,-1.1505793423877664,62.461218946165616,58.277309429819105,20.09380601074683,34.73078646352601,29.64063021157773,11.77801805891459,6.990153394751873,8.53110855070711,4.527657199183219,5.579334247918584,2.9262492172088432,3.594405870802036,-3.049999999999999,7.4709408162778415,12.636466082655117,6.462826076580645,290.2298754648276,14.65291110912782,1.4118420783282006,1.4118420783282006,17.072674265249454,5.907179729351506,0.0,9.694446914922299,13.132916598063069,4.992404732635669,6.531038962001867,24.509834062691535,92.90077149198473,62.66149536350995,33.748746140963156,70.49213453829233,26.96387231799161,1.4311996572326342,19.15913226260522,10.886362417998747,62.020709937489016,26.049564295864123,71.62512809968374,0.0,119.78999999999998,211.71236459899686,17.3656933590694,0.0,0.0,0.0,0.0,0.0,0.0,10.101212923742882,49.44883264534835,357.5368496580667,0.0,14.145163850332128,3.759136166770351,-9.792875212429099,-7.2680678809402,-20.176042926211895,-32.59825348426995,-23.75889581708364,-6.263681020901008,0.4666666666666667,40,3,9,1,1,2,2,1,3,6,3,10,10,1,1,2,5,3.884300000000003,155.21849999999978,0,1,0,2,1,0,0,0,1,1,3,2,0,0,1,1,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CHEMBL2172309,14.770356065455665,-5.294823287416185,14.770356065455665,0.6643849212856252,0.3828286737522652,563.718000000002,521.3820000000004,563.3271684240012,220,0.2797137849764694,-0.3888378882491449,0.3888378882491449,0.2797137849764694,1.024390243902439,1.8048780487804879,2.5121951219512195,2.8430912489467413e-15,-0.24851745876509762,-6.684888325307641e-17,-2.7787349175431624,-1.0765901246427286e-17,-2.776909230068137,5.226309467855899e-16,-1.1103362209089025,65.883868676976,61.83877732190061,19.838777321900608,36.32608592514675,31.537311726663933,10.734636245200155,7.628344959544254,7.628344959544254,4.810841517793313,4.810841517793313,3.154129257234889,3.154129257234889,-3.299999999999999,7.248073066321806,11.897820562716056,6.620349249201111,299.4305558368635,19.962724462416194,5.817220841045895,2.8236841566564013,12.956562841193376,5.907179729351506,0.0,14.488984098994122,4.39041504767482,4.992404732635669,0.0,6.042418707663295,113.9599412991517,77.13070295153157,28.97127925174819,75.37156545422069,22.847760893935536,1.4311996572326342,19.75382600215946,10.886362417998747,95.79670577750755,6.496859684315945,64.85923823269218,0.0,102.72,215.64834827597383,26.31631642135044,0.0,0.0,0.0,0.0,0.0,0.0,10.101212923742882,45.37764049899565,375.22173975900625,0.0,30.0463251292343,2.562372880327626,-15.188527711249586,-12.813585283325777,-28.198375103093806,-30.68192590461202,-28.198023766287236,0.0,0.53125,41,3,8,1,1,2,2,1,3,5,3,9,12,1,1,2,5,4.840800000000005,156.58569999999975,0,1,0,2,1,0,0,0,2,2,3,2,0,0,1,1,0,2,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL2172310,14.755312155371252,-5.271395287676993,14.755312155371252,0.6454608319069908,0.3878921164260701,563.718000000002,521.3820000000004,563.3271684240012,220,0.2797137849764694,-0.39013051739128385,0.39013051739128385,0.2797137849764694,1.024390243902439,1.8048780487804879,2.5121951219512195,3.200468794171236e-15,-0.24851674845126726,-1.18950227311918e-16,-2.778715217534552,-1.1759251949752539e-17,-2.7727504574266124,4.084313771556478e-16,-1.110746695492108,65.883868676976,61.83877732190061,19.838777321900608,36.32608592514675,31.537311726663933,10.734636245200155,7.641541560669265,7.641541560669265,4.773523909330047,4.773523909330047,3.07210663428676,3.07210663428676,-3.299999999999999,7.248073066321806,11.897820562716056,6.785438902785264,299.4305558368635,19.962724462416194,5.817220841045895,2.8236841566564013,12.956562841193376,5.907179729351506,0.0,14.488984098994122,4.39041504767482,4.992404732635669,0.0,6.042418707663295,107.58701639782231,83.50362785286092,28.97127925174819,75.37156545422069,22.847760893935536,1.4311996572326342,19.75382600215946,16.780320103361824,83.40588840782853,12.99371936863189,64.85923823269218,0.0,102.72,215.64834827597383,24.94555786518022,0.0,0.0,0.0,0.0,0.0,0.0,10.101212923742882,46.748399055165876,374.4084067766401,0.0,30.101468937137305,2.4999785599533326,-14.888039510778206,-17.806810198941122,-22.800633254950785,-25.925013371434826,-32.83935793762578,0.0,0.53125,41,3,8,1,1,2,2,1,3,5,3,9,12,1,1,2,5,4.698300000000005,156.53769999999975,0,1,0,2,1,0,0,0,2,2,3,2,0,0,1,1,0,2,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
